,t_ms,type,id,x,y,x_est,y_est,vx_est,vy_est,yaw_est,vel_est,scenario_id
0,10.5,p,p1,24.2553,6.7883,24.2553,6.7883,-1.1217,-0.2137,,,1
1,11.0,p,p1,23.6945,6.6815,23.6945,6.6815,-1.1217,-0.2137,,,1
2,11.5,p,p1,23.1117,6.3757,23.1122,6.3803,-1.1527,-0.4947,,,1
3,12.0,p,p1,22.5156,6.2729,22.516,6.27,-1.1819,-0.2924,,,1
4,12.5,p,p1,21.929000000000002,6.1584,21.9289,6.1577,-1.1762,-0.2423,,,1
5,13.0,p,p1,21.4185,6.1644,21.4169,6.1617,-1.0639,-0.0575,,,1
6,13.5,p,p1,20.826999999999998,6.2453,20.8282,6.2429,-1.1477,0.1049,,,1
7,14.0,p,p1,20.3129,6.3581,20.3116,6.3568,-1.0631,0.1956,,,1
8,14.5,p,p1,19.8455,6.3701,19.8442,6.3719,-0.9685,0.0735,,,1
9,15.0,p,p1,19.3974,6.1382,19.3966,6.1439,-0.9143,-0.3174,,,1
10,15.5,p,p1,19.1848,5.8173,19.1797,5.8208,-0.5596,-0.5602,,,1
11,16.0,p,p1,18.7752,5.5391,18.7778,5.5391,-0.7398,-0.5625,,,1
12,16.5,p,p1,18.4615,5.4165,18.4604,5.4132,-0.6624,-0.3331,,,1
13,17.0,p,p1,18.1844,5.2652,18.1833,5.2648,-0.5826,-0.3064,,,1
14,17.5,p,p1,17.9013,5.3103,17.9011,5.3061,-0.5691,-0.0192,,,1
15,18.0,p,p1,17.5681,5.446000000000001,17.5691,5.4428,-0.6391,0.1968,,,1
16,18.5,p,p1,17.1102,5.5894,17.1131,5.5884,-0.8406,0.2665,,,1
17,19.0,p,p1,16.6627,5.7955,16.6633,5.794,-0.8841,0.3733,,,1
18,19.5,p,p1,16.13,5.8729,16.1319,5.8752,-1.0161,0.2176,,,1
19,20.0,p,p1,15.6839,5.952000000000001,15.6827,5.9526,-0.9293,0.1713,,,1
20,20.5,p,p1,15.1822,6.0714,15.1829,6.0707,-0.9811,0.2192,,,1
21,21.0,p,p1,14.5342,6.2109,14.5375,6.2102,-1.2098,0.2634,,,1
22,21.5,p,p1,13.9386,6.4079999999999995,13.9384,6.4066,-1.2012,0.3589,,,1
23,22.0,p,p1,13.3436,6.4270000000000005,13.3435,6.4303,-1.1929,0.1289,,,1
24,22.5,p,p1,12.7471,6.4399,12.7471,6.441,-1.1927,0.0496,,,1
25,23.0,p,p1,12.2182,6.2655,12.2168,6.2697,-1.0952,-0.24,,,1
26,23.5,p,p1,11.6481,6.1462,11.6486,6.1463,-1.1257,-0.245,,,1
27,24.0,p,p1,11.0824,5.9545,11.0824,5.9559,-1.1305,-0.3452,,,1
28,10.5,p,p2,25.798000000000002,7.6605,25.798000000000002,7.6605,-1.0028,0.129,,,1
29,11.0,p,p2,25.2966,7.725,25.2966,7.725,-1.0028,0.129,,,1
30,11.5,p,p2,24.7548,7.7268,24.7558,7.7282,-1.0598,0.0403,,,1
31,12.0,p,p2,24.1875,7.7041,24.1883,7.7051,-1.1153,-0.0236,,,1
32,12.5,p,p2,23.6739,7.7951,23.673000000000002,7.792999999999999,-1.0527,0.1236,,,1
33,13.0,p,p2,23.1869,7.7945,23.1861,7.7958,-0.9945,0.0365,,,1
34,13.5,p,p2,22.8557,7.8118,22.8522,7.8118,-0.7533,0.0333,,,1
