,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,strategy
0,1,t1,35.2441,9.3551,-3.036238156346462,8.5297174102431,2.3572,2.5020539189596454,48.0,21.0,2,1
1,1,p1,24.2553,6.7883,6.092386157294196,5.638649007276447,1.1418750281882863,1.0998025495519026,48.0,21.0,1,0
2,1,p2,25.798000000000002,7.6605,8.578773281877808,7.02766601690471,1.0110632225533673,0.9659709065421599,48.0,21.0,1,0
3,1,p3,27.5933,7.2703,9.569727554540982,6.612414494022695,1.1708357100806244,1.02555496996172,48.0,21.0,1,0
4,1,p4,29.1743,7.245,10.803705345584588,8.146184472304427,1.0346610701094345,1.0221091198426604,48.0,21.0,1,0
5,1,p5,27.309,8.4167,9.780236085294955,8.350103904417026,1.1078151831420255,0.9999505430559098,48.0,21.0,1,0
6,1,p6,24.2582,10.1345,7.225551555839365,10.33649110221738,0.9894308768175775,1.0043242356051232,48.0,21.0,1,0
7,1,p7,26.8128,10.3133,9.333250816836685,10.548041381658507,1.1014239192971977,1.0263636817637667,48.0,21.0,1,0
8,1,p8,28.6454,9.7108,12.130320058291174,9.897672789169691,0.9718924065965326,1.0012708546487998,48.0,21.0,1,0
9,2,t1,2.3653,8.179,40.132958989875725,8.462651050037184,2.4885,2.8386500070848646,27.0,4.0,2,1
10,2,p1,14.5181,6.1635,30.195000343265427,6.766909333849823,1.0354817477869902,0.9886830937751843,27.0,4.0,1,0
11,2,p2,14.5209,7.1286,30.302717101189018,8.157041492834423,1.1014640121220485,0.9886426300094537,27.0,4.0,1,0
12,2,p3,16.3033,7.5748,32.289451813682675,6.356866993159695,1.0837337034530206,0.9886394667372581,27.0,4.0,1,0
13,2,p4,16.2999,6.0264,30.798840017097888,7.5153988687494255,0.9513551177136748,0.9080931165815809,27.0,4.0,1,0
14,2,p5,16.2384,9.0098,31.193974059666168,10.970568801501344,1.0688897464191525,1.0158674033979342,27.0,4.0,1,0
15,2,p6,14.5052,10.0067,30.312846535043878,13.754307643702154,1.1413342805681428,1.050254349620981,27.0,4.0,1,0
16,2,p7,16.7905,9.9082,32.42667167764372,9.960829223412462,1.1313009944307484,1.0362122297962948,27.0,4.0,1,0
17,2,p8,14.8642,8.5729,31.278652655365654,9.367442124802862,1.0853396012308776,1.061979831756983,27.0,4.0,1,0
18,3,t1,32.8603,7.9097,-2.60966700557228,7.345241571186587,2.7496,3.0399525573633057,32.0,12.0,2,1
19,3,p1,22.7174,6.025,6.285692541881731,4.969045228635347,1.328611500778162,1.1803471584242697,32.0,12.0,1,0
20,3,p2,22.5033,6.7361,6.756567119714541,6.184294917486508,1.143696205292297,1.0880936076476488,32.0,12.0,1,0
21,3,p3,27.0043,6.8829,10.947008673242042,6.3541418172508815,1.1033699515575,1.178107355285057,32.0,12.0,1,0
22,3,p4,25.6958,5.7019,9.232473364663822,4.725331300690695,1.3761657349316614,1.181978659946397,32.0,12.0,1,0
23,3,p5,25.4264,6.6539,9.713360340310967,5.989751927610064,1.3110569819805697,1.1103924653336263,32.0,12.0,1,0
24,3,p6,24.8893,9.1333,8.763966764573714,10.873601962382434,1.1131783864233082,1.1382549668324071,32.0,12.0,1,0
25,3,p7,27.0189,9.2144,11.161945331077703,7.112756704843717,1.149908783338922,1.1485386557240416,32.0,12.0,1,0
26,3,p8,26.1996,8.3832,9.991789044786444,8.07751501994592,1.135578971274125,1.1693640608639204,32.0,12.0,1,0
27,4,t1,3.8896,6.9825,39.89516220524643,7.510632518792949,2.9402,3.082503262740663,29.0,8.0,2,1
28,4,p1,11.9004,6.0702,27.29539163055117,7.1479914234395014,1.1702981543179498,1.1096574209222188,29.0,8.0,1,0
29,4,p2,11.5587,7.2573,26.91117175406258,10.489043960925741,1.181402814454071,1.1407117406228642,29.0,8.0,1,0
30,4,p3,15.3476,7.6086,31.340101709949742,3.6525419675732116,0.980534242135378,1.1348958195558367,29.0,8.0,1,0
31,4,p4,14.6458,5.6732,30.122400336841952,7.139798374603441,1.0590702384639086,1.127111660194292,29.0,8.0,1,0
32,4,p5,14.8168,6.6976,28.839593570091793,6.933346415978604,1.0656798768861124,1.0279557402242085,29.0,8.0,1,0
33,4,p6,13.9786,9.6616,28.74559657875444,12.13332581922846,1.1456058397197528,0.9732957703246933,29.0,8.0,1,0
34,4,p7,14.8127,8.4174,30.417343640817307,9.573092696489901,1.12408863084723,1.0621648032983468,29.0,8.0,1,0
35,4,p8,13.5354,7.9354,29.662387813691495,8.45690148380423,1.1630995314245467,1.1099829678649773,29.0,8.0,1,0
36,5,t1,32.0069,8.2801,-3.511509803677308,7.970288911360976,4.0258,4.5726927268412,22.0,9.0,2,1
37,5,p1,9.5483,6.0695,20.564641716686626,5.491906575552924,1.1049480078266127,1.0095317427213413,22.0,9.0,1,0
38,5,p2,9.8955,8.1405,21.70944844529129,11.408256144040601,1.2537370258551033,1.1550527209687118,22.0,9.0,1,0
39,5,p3,11.7929,5.4562,23.93631636875422,5.241180519771645,1.181677303666276,1.1209122512858871,22.0,9.0,1,0
40,5,p4,10.4727,6.5376,22.344765630874853,6.084694431842797,1.0741282046385339,1.0639904858753968,22.0,9.0,1,0
41,5,p5,12.7764,6.2828,24.93729680129336,6.269044289950918,1.421287444537522,1.1974013942982158,22.0,9.0,1,0
42,5,p6,13.5613,10.6486,25.890360378800548,11.208049059756323,1.2672582372981442,1.1545676945083163,22.0,9.0,1,0
43,5,p7,12.7761,8.3382,23.934264731365726,8.256121364283832,1.052715593120953,1.1451585393001584,22.0,9.0,1,0
44,5,p8,12.8421,9.1098,24.604408734118397,8.645475465862225,1.1606757342169258,1.0959597184281242,22.0,9.0,1,0
45,6,t1,28.2024,7.8906,12.812008597033604,6.030881577845167,1.794,1.9741514409607632,20.0,10.0,2,1
